Bränsle,Växellåda,Miltal,Modellår,Biltyp,Pris
Bensin,Manuell,20 000 - 20 499,2006,Sedan,59500
Bensin,Automat,17 000 - 17 499,2006,Sedan,40000
Bensin,Manuell,13 500 - 13 999,2007,Sedan,29900
Bensin,Manuell,9 000 - 9 499,2006,Sedan,85000
Bensin,Manuell,21 000 - 21 499,2007,Sedan,33800
Bensin,Automat,21 500 - 21 999,2007,Sedan,25000
Bensin,Automat,15 000 - 15 499,2006,Sedan,132000
Bensin,Manuell,23 000 - 23 499,2007,Sedan,49000
Bensin,Manuell,20 000 - 20 499,2006,Sedan,27500
Diesel,Automat,29 500 - 29 999,2007,Sedan,34000
Bensin,Automat,12 000 - 12 499,2006,Sedan,50000
Bensin,Manuell,17 000 - 17 499,2006,Sedan,73000
Bensin,Manuell,18 000 - 18 499,2006,Sedan,47000
Bensin,Automat,21 000 - 21 499,2007,Sedan,49500
Bensin,Manuell,27 500 - 27 999,2006,Sedan,14000
Bensin,Automat,14 500 - 14 999,2007,Sedan,60000
Diesel,Automat,28 000 - 28 499,2007,Sedan,32900
Bensin,Automat,29 000 - 29 499,2007,Sedan,25000
Bensin,Manuell,15 000 - 15 499,2007,Sedan,69900
Bensin,Manuell,24 500 - 24 999,2006,Sedan,49000
Diesel,Manuell,29 000 - 29 499,2007,Sedan,32000
Bensin,Automat,12 500 - 12 999,2006,Sedan,44000
Bensin,Manuell,27 000 - 27 499,2007,Sedan,50000
Bensin,Automat,9 500 - 9 999,2007,Sedan,83000
Diesel,Automat,25 000 - 25 499,2006,Sedan,40000
Diesel,Manuell,22 000 - 22 499,2007,Sedan,39000
Diesel,Manuell,35 000 - 39 999,2007,Sedan,34999
Diesel,Automat,26 000 - 26 499,2007,Sedan,35000
Diesel,Automat,35 000 - 39 999,2007,Sedan,25000
Bensin,Manuell,19 000 - 19 499,2006,Sedan,33000
Diesel,Manuell,27 500 - 27 999,2006,Sedan,38900
Bensin,Manuell,13 500 - 13 999,2006,Sedan,44000
Diesel,Manuell,35 000 - 39 999,2006,Sedan,35000
Bensin,Automat,12 500 - 12 999,2006,Sedan,79900
Bensin,Manuell,16 500 - 16 999,2007,Sedan,31000
Diesel,Manuell,30 000 - 34 999,2007,Sedan,150000
Bensin,Manuell,18 500 - 18 999,2007,Sedan,18000
Bensin,Automat,24 500 - 24 999,2007,Sedan,89000
Bensin,Automat,18 000 - 18 499,2006,Sedan,53000
Diesel,Automat,21 000 - 21 499,2006,Sedan,54000
Bensin,Manuell,18 000 - 18 499,2006,Sedan,50000
Bensin,Manuell,17 500 - 17 999,2006,Halvkombi,20000
Bensin,Manuell,20 000 - 20 499,2006,Halvkombi,28500
Bensin,Manuell,21 000 - 21 499,2006,Halvkombi,30000
Bensin,Manuell,23 500 - 23 999,2006,Halvkombi,18500
Diesel,Automat,15 500 - 15 999,2007,Halvkombi,15000
Bensin,Manuell,14 000 - 14 499,2007,Halvkombi,35000
Bensin,Manuell,14 000 - 14 499,2006,Halvkombi,14900
Bensin,Manuell,9 500 - 9 999,2007,Halvkombi,27900
Bensin,Manuell,24 500 - 24 999,2007,Halvkombi,17000
Bensin,Automat,20 500 - 20 999,2007,Halvkombi,49900
Bensin,Manuell,17 000 - 17 499,2007,Halvkombi,25000
Bensin,Manuell,23 000 - 23 499,2006,Halvkombi,12500
Bensin,Manuell,12 500 - 12 999,2006,Halvkombi,37000
Bensin,Manuell,18 000 - 18 499,2006,Halvkombi,28000
Bensin,Manuell,30 000 - 34 999,2006,Halvkombi,25000
Bensin,Manuell,19 500 - 19 999,2007,Halvkombi,40000
Bensin,Automat,17 000 - 17 499,2006,Halvkombi,59900
Bensin,Manuell,22 000 - 22 499,2006,Halvkombi,99000
Bensin,Manuell,14 500 - 14 999,2007,Halvkombi,24000
Bensin,Manuell,16 500 - 16 999,2007,Halvkombi,29000
Bensin,Manuell,20 500 - 20 999,2007,Halvkombi,34000
Bensin,Manuell,21 000 - 21 499,2006,Halvkombi,22900
Bensin,Manuell,13 000 - 13 499,2007,Halvkombi,31900
Bensin,Manuell,18 500 - 18 999,2007,Halvkombi,44800
Bensin,Manuell,13 500 - 13 999,2007,Halvkombi,25000
Bensin,Manuell,16 000 - 16 499,2006,Halvkombi,13500
Bensin,Manuell,16 000 - 16 499,2007,Halvkombi,28900
Diesel,Automat,22 000 - 22 499,2007,Halvkombi,31000
Bensin,Manuell,13 500 - 13 999,2007,Halvkombi,32000
Bensin,Manuell,8 500 - 8 999,2006,Halvkombi,95000
Bensin,Manuell,18 500 - 18 999,2007,Halvkombi,34000
Diesel,Automat,16 000 - 16 499,2007,Halvkombi,54900
Bensin,Manuell,20 500 - 20 999,2007,Halvkombi,17500
Bensin,Manuell,15 000 - 15 499,2007,Halvkombi,76000
Bensin,Manuell,14 500 - 14 999,2006,Halvkombi,29900
Bensin,Manuell,26 000 - 26 499,2006,Halvkombi,18900
Bensin,Automat,14 000 - 14 499,2007,Halvkombi,58000
Diesel,Manuell,19 500 - 19 999,2007,Halvkombi,49500
Bensin,Manuell,16 000 - 16 499,2007,Halvkombi,45000
Bensin,Automat,17 000 - 17 499,2006,Halvkombi,29900
Bensin,Manuell,22 000 - 22 499,2006,Halvkombi,23000
Bensin,Automat,25 000 - 25 499,2006,Kombi,33900
Bensin,Automat,5000 - 5 499,2007,Kombi,95000
Bensin,Manuell,18 000 - 18 499,2007,Kombi,34000
Bensin,Manuell,16 500 - 16 999,2007,Kombi,45000
Bensin,Manuell,26 000 - 26 499,2006,Kombi,35000
Diesel,Manuell,4 500 - 4 999,2007,Kombi,88000
Bensin,Manuell,20 500 - 20 999,2007,Kombi,18900
Bensin,Manuell,30 000 - 34 999,2007,Kombi,21500
Bensin,Automat,25 000 - 25 499,2007,Kombi,35000
Diesel,Manuell,30 000 - 34 999,2007,Kombi,25000
Bensin,Manuell,23 500 - 23 999,2007,Kombi,27000
Bensin,Automat,26 000 - 26 499,2006,Kombi,20000
Diesel,Manuell,26 000 - 26 499,2007,Kombi,25000
Bensin,Manuell,29 500 - 29 999,2006,Kombi,31500
Bensin,Automat,27 000 - 27 499,2007,Kombi,10000
Diesel,Manuell,22 500 - 22 999,2006,Kombi,35000
Diesel,Manuell,26 000 - 26 499,2007,Kombi,35000
Diesel,Manuell,14 000 - 14 499,2007,Kombi,28000
Bensin,Automat,17 000 - 17 499,2007,Kombi,60000
Bensin,Manuell,29 500 - 29 999,2007,Kombi,36500
Diesel,Automat,21 500 - 21 999,2007,Kombi,48000
Bensin,Manuell,18 000 - 18 499,2006,Kombi,26900
Bensin,Automat,24 000 - 24 999,2006,Kombi,35000
Bensin,Manuell,23 500 - 23 999,2006,Kombi,12000
Diesel,Automat,30 000 - 34 999,2007,Kombi,60000
Diesel,Manuell,26 000 - 26 499,2007,Kombi,27000
Bensin,Manuell,21 000 - 21 499,2006,Kombi,24900
Diesel,Automat,30 000 - 34 999,2007,Kombi,34800
Bensin,Manuell,21 000 - 21 499,2006,Kombi,39500
Diesel,Manuell,19 000 - 19 499,2007,Kombi,20000
Bensin,Manuell,30 000 - 34 999,2006,Kombi,22000
Diesel,Automat,35 000 - 39 999,2006,Kombi,48000
Bensin,Manuell,25 500 - 25 999,2007,Kombi,33000
Bensin,Manuell,19 500 - 19 999,2007,Kombi,28000
Bensin,Automat,24 000 - 24 499,2006,Kombi,85000
Bensin,Manuell,24 000 - 24 499,2007,Kombi,10000
Diesel,Manuell,25 000 - 25 499,2006,Kombi,75000
Bensin,Manuell,28 500 - 28 999,2006,Kombi,19900
Bensin,Manuell,28 500 - 28 999,2006,Kombi,23000
Bensin,Manuell,9 000 - 9 499,2006,Kombi,48500
Bensin,Manuell,26 000 - 26 499,2006,Kombi,64000
Bensin,Automat,26 500 - 26 999,2004,Kombi,32000
Bensin,Manuell,25 000 - 25 499,2004,Sedan,11900
Bensin,Automat,25 000 - 25 499,2004,Kombi,37000
Bensin,Manuell,19 000 - 19 499,2004,Kombi,39900
Bensin,Manuell,30 000 - 34 999,2004,Kombi,19900
Bensin,Manuell,17 500 - 17 999,2004,Kombi,34000
Bensin,Manuell,23 000 - 23 499,2004,Kombi,22000
Bensin,Manuell,30 000 - 34 999,2004,Sedan,18000
Bensin,Manuell,35 000 - 39 999,2004,Kombi,16000
Bensin,Automat,19 500 - 19 999,2004,Sedan,44000
Miljöbränsle/Hybrid,Manuell,11 000 - 11 499,2004,Sedan,210000
Bensin,Manuell,27 000 - 27 499,2004,Kombi,28000
Bensin,Manuell,27 500 - 27 999,2004,Sedan,16500
Bensin,Automat,18 000 - 18 499,2004,Kombi,39000
Diesel,Manuell,35 000 - 39 999,2004,Halvkombi,28000
Bensin,Manuell,15 500 - 15 999,2004,Halvkombi,20000
Bensin,Automat,24 500 - 24 999,2004,Kombi,79900
Bensin,Automat,13 500 - 13 999,2004,Sedan,47000
Bensin,Manuell,25 000 - 25 499,2004,Kombi,22000
Bensin,Automat,20 000 - 20 499,2004,Sedan,60000
Bensin,Manuell,25 000 - 25 499,2004,Kombi,59000
Bensin,Manuell,30 000 - 34 999,2004,Kombi,4900
Bensin,Automat,14 000 - 14 499,2004,Halvkombi,25000
Bensin,Manuell,35 000 - 39 999,2004,Sedan,21500
Bensin,Manuell,14 000 - 14 499,2004,Kombi,30000
Bensin,Automat,25 000 - 25 499,2004,Kombi,27000
Bensin,Manuell,30 000 - 34 999,2004,Kombi,17000
Bensin,Manuell,27 000 - 27 499,2004,Halvkombi,24000
Bensin,Automat,15 000 - 15 499,2004,Kombi,42000
Bensin,Manuell,28 500 - 28 999,2004,Kombi,35000
Bensin,Manuell,17 500 - 17 999,2004,Sedan,24500
Bensin,Manuell,25 000 - 25 499,2004,Sedan,5000
Bensin,Manuell,25 500 - 25 999,2004,Halvkombi,20900
Bensin,Automat,9 000 - 9 499,2004,Sedan,27000
Bensin,Manuell,17 500 - 17 999,2004,Kombi,17900
Bensin,Manuell,3 500 - 3 999,2004,Halvkombi,25000
